Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,871607107,SNPS ,"1,732,105","339,769,716.80",0.262,Synopsys Inc,Common Stock,Information Technology,08/14/2020
QQQ,N07059210,ASML ,"882,898","327,643,447.80",0.252,ASML Holding NV,American Depository Receipt - NY,Information Technology,08/14/2020
QQQ,311900104,FAST ,"6,580,322","315,789,652.78",0.243,Fastenal Co,Common Stock,Industrials,08/14/2020
QQQ,812578102,SGEN ,"1,988,471","312,726,834.17",0.241,Seattle Genetics Inc,Common Stock,Health Care,08/14/2020
QQQ,60770K107,MRNA ,"4,466,735","308,874,725.25",0.238,Moderna Inc,Common Stock,Health Care,08/14/2020
QQQ,03662Q105,ANSS ,"983,299","307,959,413.81",0.237,ANSYS Inc,Common Stock,Information Technology,08/14/2020
QQQ,704326107,PAYX ,"4,120,661","306,206,318.91",0.236,Paychex Inc,Common Stock,Information Technology,08/14/2020
QQQ,82968B103,SIRI ,"50,305,353","300,826,010.94",0.232,Sirius XM Holdings Inc,Common Stock,Communication Services,08/14/2020
QQQ,983919101,XLNX ,"2,793,211","294,153,050.41",0.226,Xilinx Inc,Common Stock,Information Technology,08/14/2020
QQQ,595017104,MCHP ,"2,818,261","282,389,752.20",0.217,Microchip Technology Inc,Common Stock,Information Technology,08/14/2020
QQQ,83088M102,SWKS ,"1,916,632","280,058,267.84",0.216,Skyworks Solutions Inc,Common Stock,Information Technology,08/14/2020
QQQ,016255101,ALGN ,"904,867","277,757,974.32",0.214,Align Technology Inc,Common Stock,Health Care,08/14/2020
QQQ,92343E102,VRSN ,"1,327,280","275,131,871.20",0.212,VeriSign Inc,Common Stock,Information Technology,08/14/2020
QQQ,217204106,CPRT ,"2,696,930","269,719,969.30",0.208,Copart Inc,Common Stock,Industrials,08/14/2020
QQQ,256746108,DLTR ,"2,725,143","269,353,134.12",0.207,Dollar Tree Inc,Common Stock,Consumer Discretionary,08/14/2020
QQQ,015351109,ALXN ,"2,536,876","261,222,121.72",0.201,Alexion Pharmaceuticals Inc,Common Stock,Health Care,08/14/2020
QQQ,156782104,CERN ,"3,496,219","254,909,327.29",0.196,Cerner Corp,Common Stock,Health Care,08/14/2020
QQQ,09061G101,BMRN ,"2,077,270","245,450,223.20",0.189,BioMarin Pharmaceutical Inc,Common Stock,Health Care,08/14/2020
QQQ,45337C102,INCY ,"2,496,981","236,888,587.47",0.182,Incyte Corp,Common Stock,Health Care,08/14/2020
QQQ,874054109,TTWO ,"1,308,916","226,979,123.56",0.175,Take-Two Interactive Software Inc,Common Stock,Communication Services,08/14/2020
QQQ,57772K101,MXIM ,"3,062,967","210,119,536.20",0.162,Maxim Integrated Products Inc,Common Stock,Information Technology,08/14/2020
QQQ,M22465104,CHKP ,"1,642,570","203,596,551.50",0.157,Check Point Software Technologies Ltd,Common Stock,Information Technology,08/14/2020
QQQ,177376100,CTXS ,"1,418,025","193,347,708.75",0.149,Citrix Systems Inc,Common Stock,Information Technology,08/14/2020
QQQ,12514G108,CDW ,"1,634,847","185,587,831.44",0.143,CDW Corp/DE,Common Stock,Information Technology,08/14/2020
QQQ,89677Q107,TCOM ,"6,007,734","171,460,728.36",0.132,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,08/14/2020
QQQ,90384S303,ULTA ,"646,957","145,837,046.94",0.112,Ulta Beauty Inc,Common Stock,Consumer Discretionary,08/14/2020
QQQ,30212P303,EXPE ,"1,556,122","134,962,461.06",0.104,Expedia Group Inc,Common Stock,Consumer Discretionary,08/14/2020
QQQ,958102105,WDC ,"3,442,722","123,042,884.28",0.095,Western Digital Corp,Common Stock,Information Technology,08/14/2020
